Federal holiday,Month,Day
New Year's Day,1,1
Martin Luther King Day,1,17
Presidents' Day,2,21
Memorial Day,5,30
Independence Day,7,4
Labor Day,9,5
Columbus Day,10,10
Veterans Day,11,11
Thanksgiving Day,11,24
Christmas Day,12,25
Christmas Day (observed),12,26
New Year's Day,1,1
New Year's Day (observed),1,2
Martin Luther King Day,1,16
Presidents' Day,2,20
Memorial Day,5,28
Independence Day,7,4
Labor Day,9,3
Columbus Day,10,8
Veterans Day,11,11
Veterans Day (observed),11,12
Thanksgiving Day,11,22
Christmas Day,12,25
New Year's Day,1,1
Martin Luther King Day,1,21
Presidents' Day,2,18
Memorial Day,5,27
Independence Day,7,4
Labor Day,9,2
Columbus Day,10,14
Veterans Day,11,11
Thanksgiving Day,11,28
Christmas Day,12,25
